COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root   34u     IPv4             226417      0t0    TCP jp-n01.internal.cloudapp.net:56160->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   35u     IPv4             224153      0t0    TCP jp-n01.internal.cloudapp.net:51848->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   36u     IPv4             224194      0t0    TCP jp-n01.internal.cloudapp.net:52516->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   37u     IPv4             220593      0t0    TCP jp-n01.internal.cloudapp.net:59896->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   38u     IPv4             223289      0t0    TCP jp-n01.internal.cloudapp.net:44426->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   39u     IPv4             224575      0t0    TCP jp-n01.internal.cloudapp.net:59484->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   40u     IPv4             224619      0t0    TCP jp-n01.internal.cloudapp.net:42856->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   41u     IPv4             223840      0t0    TCP jp-n01.internal.cloudapp.net:40166->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   42u     IPv4             220606      0t0    TCP jp-n01.internal.cloudapp.net:45502->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   43u     IPv4             223869      0t0    TCP jp-n01.internal.cloudapp.net:53308->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   44u     IPv4             223917      0t0    TCP jp-n01.internal.cloudapp.net:57474->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   45u     IPv4             224244      0t0    TCP jp-n01.internal.cloudapp.net:42964->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   46u     IPv4             224341      0t0    TCP jp-n01.internal.cloudapp.net:43034->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   47u     IPv4             223653      0t0    TCP jp-n01.internal.cloudapp.net:57934->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   48u     IPv4             224705      0t0    TCP jp-n01.internal.cloudapp.net:40224->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   49u     IPv4             224771      0t0    TCP jp-n01.internal.cloudapp.net:40238->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   50u     IPv4             227497      0t0    TCP jp-n01.internal.cloudapp.net:52758->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   51u     IPv4             224839      0t0    TCP jp-n01.internal.cloudapp.net:42790->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   52u     IPv4             226456      0t0    TCP jp-n01.internal.cloudapp.net:46474->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   53u     IPv4             227876      0t0    TCP jp-n01.internal.cloudapp.net:48288->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   54u     IPv4             225078      0t0    TCP jp-n01.internal.cloudapp.net:42654->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   55u     IPv4             226050      0t0    TCP jp-n01.internal.cloudapp.net:50548->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   56u     IPv4             225137      0t0    TCP jp-n01.internal.cloudapp.net:58480->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   57u     IPv4             225242      0t0    TCP jp-n01.internal.cloudapp.net:53994->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   58u     IPv4             225261      0t0    TCP jp-n01.internal.cloudapp.net:35636->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
